CategoryName,Source,NumberOfPapers
"""lumbar spine""","""OpenAIRE""",1
"""emg profiles""","""OpenAIRE""",1
"""human gait""","""OpenAIRE""",1
"""dynamic electromyography""","""OpenAIRE""",1
"""multiple correspondence analysis""","""OpenAIRE""",1
"""stride-to-stride""","""OpenAIRE""",1
"""hedonism""","""OpenAIRE""",1
"""prospect theory""","""OpenAlex""",1
"""infrastructure""","""OpenAIRE""",1
"""human computation""","""OpenAIRE""",1
"""activism""","""OpenAIRE""",1
"""sampled data systems""","""OpenAIRE""",1
"""orders of magnitude (angular velocity)""","""OpenAIRE""",1
"""multispectral pattern recognition""","""OpenAlex""",1
"""immersive technology""","""OpenAIRE""",1
"""immersive technology""","""OpenAlex""",1
"""scientific workflow system""","""OpenAIRE""",1
"""composition (language)""","""OpenAIRE""",1
"""grid computing""","""OpenAlex""",1
"""workbench""","""OpenAlex""",1
"""male phenotype""","""OpenAIRE""",1
"""estrous cycle""","""OpenAIRE""",1
"""craving""","""OpenAIRE""",1
"""estrous cycle""","""OpenAlex""",1
"""craving""","""OpenAlex""",1
"""double hashing""","""OpenAIRE""",1
"""feature hashing""","""OpenAIRE""",1
"""locality preserving hashing""","""OpenAIRE""",1
"""k-independent hashing""","""OpenAIRE""",1
"""hash table""","""OpenAIRE""",1
"""dynamic perfect hashing""","""OpenAIRE""",1
"""universal hashing""","""OpenAIRE""",1
"""surface texture""","""OpenAIRE""",1
"""surface measurement""","""OpenAIRE""",1
"""metal additive manufacturing; metrology; surface texture; engineering (all)""","""OpenAIRE""",1
"""metal additive manufacturing""","""OpenAIRE""",1
"""surface metrology""","""OpenAlex""",1
"""stance detection""","""OpenAIRE""",1
"""prognostics""","""OpenAlex""",1
"""kadir–brady saliency detector""","""OpenAlex""",1
"""90c59, 90c27""","""OpenAIRE""",1
"""metaheuristics, local search, combinatorial optimization""","""OpenAIRE""",1
"""iterated local search""","""OpenAIRE""",1
"""iterated local search""","""OpenAlex""",1
"""conscious state""","""OpenAIRE""",1
"""verbal reasoning""","""OpenAlex""",1
"""psychology of reasoning""","""OpenAlex""",1
"""natural deduction""","""OpenAlex""",1
"""one half""","""OpenAIRE""",1
"""amines""","""OpenAIRE""",1
"""polycyclic compounds""","""OpenAIRE""",1
"""heterocyclic compounds""","""OpenAIRE""",1
"""penicillins""","""OpenAIRE""",1
"""image file formats""","""OpenAIRE""",1
"""urbansound8k""","""OpenAIRE""",1
"""convolutional neural networks (cnn)""","""OpenAIRE""",1
"""environmental sound classification (esc)""","""OpenAIRE""",1
"""situation analysis""","""OpenAIRE""",1
"""situational crisis communication theory""","""OpenAIRE""",1
"""crisis communication""","""OpenAlex""",1
"""crisis response""","""OpenAlex""",1
"""childbearing age""","""OpenAIRE""",1
"""social acceptance""","""OpenAIRE""",1
"""stress management""","""OpenAIRE""",1
"""coping behavior""","""OpenAlex""",1
"""cursor (databases)""","""OpenAIRE""",1
"""cursor (user interface)""","""OpenAIRE""",1
"""magic (programming)""","""OpenAIRE""",1
"""magic (telescope)""","""OpenAlex""",1
"""genetic polymorphism""","""OpenAIRE""",1
"""drosophila-melanogaster""","""OpenAIRE""",1
"""recombination rates""","""OpenAIRE""",1
"""dna polymorphism""","""OpenAIRE""",1
"""genome analysis tools""","""OpenAIRE""",1
"""evolutionary genetics""","""OpenAIRE""",1
"""samples""","""OpenAIRE""",1
"""gene pool""","""OpenAIRE""",1
"""genome scans""","""OpenAIRE""",1
"""seq""","""OpenAIRE""",1
"""computing and computers""","""OpenAIRE""",1
"""volition (psychology)""","""OpenAIRE""",1
"""weighted network""","""OpenAIRE""",1
"""spatial network""","""OpenAlex""",1
"""giant component""","""OpenAlex""",1
"""stochastic dominance""","""OpenAlex""",1
"""computer-aided software engineering""","""OpenAIRE""",1
"""software visualization""","""OpenAIRE""",1
"""graph layout""","""OpenAlex""",1
"""doctoral dissertation""","""OpenAIRE""",1
"""intension""","""OpenAIRE""",1
"""approximations of π""","""OpenAIRE""",1
"""intension""","""OpenAlex""",1
"""attribute hierarchy method""","""OpenAIRE""",1
"""educational assessment""","""OpenAIRE""",1
"""yes-no methods""","""OpenAIRE""",1
"""binary responses""","""OpenAIRE""",1
"""forced-choice methods""","""OpenAIRE""",1
"""sequential estimate""","""OpenAIRE""",1
"""psychometric functions""","""OpenAIRE""",1
"""differential threshold""","""OpenAIRE""",1
"""computer aid""","""OpenAIRE""",1
"""psychophysical threshold""","""OpenAIRE""",1
"""streamlines, streaklines, and pathlines""","""OpenAIRE""",1
"""projection method""","""OpenAIRE""",1
"""free surface""","""OpenAlex""",1
"""streamlines, streaklines, and pathlines""","""OpenAlex""",1
"""variogram""","""OpenAIRE""",1
"""high readings""","""OpenAIRE""",1
"""progressive meshes""","""OpenAIRE""",1
"""normal mapping""","""OpenAIRE""",1
"""mesh parameterization""","""OpenAIRE""",1
"""texture atlas""","""OpenAIRE""",1
"""planarity testing""","""OpenAlex""",1
"""parametrization (atmospheric modeling)""","""OpenAlex""",1
"""ministate""","""OpenAlex""",1
"""ministate""","""OpenAIRE""",1
"""eeg data""","""OpenAIRE""",1
"""eeg microstates""","""OpenAIRE""",1
"""in vehicle""","""OpenAIRE""",1
"""point of interest""","""OpenAIRE""",1
"""pentium""","""OpenAlex""",1
"""electro-oculography""","""OpenAIRE""",1
"""emotional development""","""OpenAlex""",1
"""polygraph""","""OpenAIRE""",1
"""disjoint sets""","""OpenAIRE""",1
"""shellcode""","""OpenAIRE""",1
"""disjoint sets""","""OpenAlex""",1
"""polygraph""","""OpenAlex""",1
"""multilevel theory""","""OpenAIRE""",1
"""filtering theory""","""OpenAIRE""",1
"""mathematical operators""","""OpenAIRE""",1
"""image processing -- digital techniques""","""OpenAIRE""",1
"""optimisation""","""OpenAIRE""",1
"""image sequences""","""OpenAIRE""",1
"""imatges -- processament -- tècniques digitals""","""OpenAIRE""",1
"""trees (mathematics)""","""OpenAIRE""",1
"""bilinear matrix inequality""","""OpenAIRE""",1
"""i460""","""OpenAIRE""",1
"""histology""","""OpenAlex""",1
"""sdg – goede gezondheid en welzijn""","""OpenAIRE""",1
"""rc0254""","""OpenAIRE""",1
"""intestinal gland""","""OpenAIRE""",1
"""colorectal adenocarcinoma""","""OpenAIRE""",1
"""grading (tumors)""","""OpenAIRE""",1
"""i440""","""OpenAIRE""",1
"""b130""","""OpenAIRE""",1
"""histological techniques""","""OpenAIRE""",1
"""paternal care""","""OpenAIRE""",1
"""normal diet""","""OpenAIRE""",1
"""gopnik""","""OpenAIRE""",1
"""individuation""","""OpenAIRE""",1
"""language and thought""","""OpenAIRE""",1
"""individuation""","""OpenAlex""",1
"""conflation""","""OpenAlex""",1
"""darkness""","""OpenAlex""",1
"""publication bias""","""OpenAIRE""",1
"""hospital mortality""","""OpenAIRE""",1
"""disabled persons""","""OpenAIRE""",1
"""length of stay""","""OpenAIRE""",1
"""coronary care units""","""OpenAIRE""",1
"""inpatient care""","""OpenAlex""",1
"""welfare economics/government aid programs""","""OpenAIRE""",1
"""human communication""","""OpenAlex""",1
"""timit""","""OpenAlex""",1
"""transduction (biophysics)""","""OpenAlex""",1
"""component analysis""","""OpenAIRE""",1
"""explication""","""OpenAIRE""",1
"""explication""","""OpenAlex""",1
"""looming""","""OpenAIRE""",1
"""capture effect""","""OpenAlex""",1
"""looming""","""OpenAlex""",1
"""electron configuration""","""OpenAIRE""",1
"""stark effect""","""OpenAIRE""",1
"""upgrade""","""OpenAIRE""",1
"""diatomic molecule""","""OpenAIRE""",1
"""quantum number""","""OpenAIRE""",1
"""diatomic molecule""","""OpenAlex""",1
"""upgrade""","""OpenAlex""",1
"""discrete symmetry""","""OpenAIRE""",1
"""configuration entropy""","""OpenAIRE""",1
"""configuration entropy""","""OpenAlex""",1
"""humanity""","""OpenAlex""",1
"""human life""","""OpenAlex""",1
"""endochondral ossification""","""OpenAIRE""",1
"""intramembranous ossification""","""OpenAIRE""",1
"""neural crest""","""OpenAIRE""",1
"""cellular differentiation""","""OpenAIRE""",1
"""ontogeny""","""OpenAlex""",1
"""heterochrony""","""OpenAlex""",1
"""neural crest""","""OpenAlex""",1
"""embryology""","""OpenAlex""",1
"""developmental biology""","""OpenAlex""",1
"""emergency response""","""OpenAIRE""",1
"""ground motion""","""OpenAIRE""",1
"""strong ground motion""","""OpenAlex""",1
"""anguilla""","""OpenAIRE""",1
"""simple linear regression""","""OpenAlex""",1
"""multivariate adaptive regression splines""","""OpenAlex""",1
"""dna probes""","""OpenAIRE""",1
"""affymetrix genechip operating software""","""OpenAIRE""",1
"""affymetrix genechip""","""OpenAIRE""",1
"""hybridization probe""","""OpenAIRE""",1
"""quantile normalization""","""OpenAIRE""",1
"""nar methods online""","""OpenAIRE""",1
"""multiclass classification""","""OpenAIRE""",1
"""domain relational calculus""","""OpenAIRE""",1
"""first normal form""","""OpenAIRE""",1
"""dependency theory (database theory)""","""OpenAIRE""",1
"""relational model/tasmania""","""OpenAIRE""",1
"""data independence""","""OpenAIRE""",1
"""join dependency""","""OpenAIRE""",1
"""armstrong's axioms""","""OpenAIRE""",1
"""superkey""","""OpenAIRE""",1
"""database machine""","""OpenAIRE""",1
"""representation term""","""OpenAIRE""",1
"""tuple relational calculus""","""OpenAIRE""",1
"""data redundancy""","""OpenAlex""",1
"""logical data model""","""OpenAlex""",1
"""sublanguage""","""OpenAlex""",1
"""human cooperation,altruistic, punishment""","""OpenAIRE""",1
"""jel:j00""","""OpenAIRE""",1
"""public goods game""","""OpenAIRE""",1
"""active disturbance rejection control""","""OpenAIRE""",1
"""active disturbance rejection control""","""OpenAlex""",1
"""is-a""","""OpenAIRE""",1
"""controllability gramian""","""OpenAIRE""",1
"""radiofrequency coil""","""OpenAIRE""",1
"""golden angle""","""OpenAIRE""",1
"""radial trajectory""","""OpenAIRE""",1
"""convex cone""","""OpenAIRE""",1
"""illumination problem""","""OpenAIRE""",1
"""network control""","""OpenAIRE""",1
"""gifted education""","""OpenAIRE""",1
"""science learning""","""OpenAlex""",1
"""appeal to fear""","""OpenAIRE""",1
"""fear appeal""","""OpenAIRE""",1
"""personal effectiveness""","""OpenAIRE""",1
"""fear appeal""","""OpenAlex""",1
"""theory of the firm""","""OpenAIRE""",1
"""dilleniales""","""OpenAIRE""",1
"""liliales""","""OpenAIRE""",1
"""aquifoliales""","""OpenAIRE""",1
"""malpighiales""","""OpenAIRE""",1
"""asparagales""","""OpenAIRE""",1
"""achariaceae""","""OpenAIRE""",1
"""pandanales""","""OpenAIRE""",1
"""corsiaceae""","""OpenAIRE""",1
"""monophyly""","""OpenAlex""",1
"""rectangle""","""OpenAIRE""",1
"""grabcut""","""OpenAIRE""",1
"""lyapunov vector""","""OpenAIRE""",1
"""quasiperiodic function""","""OpenAIRE""",1
"""deterministic noise""","""OpenAIRE""",1
"""geometric group theory""","""OpenAIRE""",1
"""chaos theory""","""OpenAlex""",1
"""entropy production""","""OpenAlex""",1
"""courage""","""OpenAIRE""",1
"""maimonides and modern medical ethics""","""OpenAIRE""",1
"""absolute (philosophy)""","""OpenAIRE""",1
"""ethics in medicine""","""OpenAIRE""",1
"""the maimonides (rambam) heritage""","""OpenAIRE""",1
"""judaism""","""OpenAIRE""",1
"""torah""","""OpenAIRE""",1
"""thought experiment""","""OpenAIRE""",1
"""wiener filter""","""OpenAlex""",1
"""6lowpan""","""OpenAIRE""",1
"""cities and towns""","""OpenAIRE""",1
"""business; cities and towns; ieee 802.15 standards; monitoring; smart buildings; smart homes; urban areas; 6lowpan; constrained application protocol (coap); efficient xml interchange (exi); smart cities; network architecture; sensor system integration; service functions and management; testbed and trials""","""OpenAIRE""",1
"""smart buildings""","""OpenAIRE""",1
"""service functions and management""","""OpenAIRE""",1
"""ieee 802.15 standards""","""OpenAIRE""",1
"""urban areas""","""OpenAIRE""",1
"""test-bed and trials""","""OpenAIRE""",1
"""building automation""","""OpenAIRE""",1
"""testbed and trials""","""OpenAIRE""",1
"""smart homes""","""OpenAIRE""",1
"""efficient xml interchange (exi)""","""OpenAIRE""",1
"""exi""","""OpenAIRE""",1
"""smart cities""","""OpenAIRE""",1
"""constrained application protocol (coap)""","""OpenAIRE""",1
"""sensor system integration""","""OpenAIRE""",1
"""coap""","""OpenAIRE""",1
"""framing effect""","""OpenAIRE""",1
"""attribute substitution""","""OpenAIRE""",1
"""[stat.me]statistics [stat]/methodology [stat.me]""","""OpenAIRE""",1
"""foundations""","""OpenAIRE""",1
"""non-informative prior""","""OpenAIRE""",1
"""bayesian model choice""","""OpenAIRE""",1
"""analog signal processing""","""OpenAlex""",1
"""center (algebra and category theory)""","""OpenAIRE""",1
"""community studies""","""OpenAIRE""",1
"""group cohesiveness""","""OpenAlex""",1
"""mel-frequency cepstrum""","""OpenAIRE""",1
"""mel scale""","""OpenAIRE""",1
"""scientific achievement""","""OpenAIRE""",1
"""science, knowledge, and technology""","""OpenAIRE""",1
"""bepress|social and behavioral sciences|sociology|inequality and stratification""","""OpenAIRE""",1
"""socarxiv|social and behavioral sciences""","""OpenAIRE""",1
"""sociology of science""","""OpenAIRE""",1
"""bepress|social and behavioral sciences|sociology""","""OpenAIRE""",1
"""fos: sociology""","""OpenAIRE""",1
"""inequality, poverty, and mobility""","""OpenAIRE""",1
"""socarxiv|social and behavioral sciences|sociology|inequality, poverty, and mobility""","""OpenAIRE""",1
"""bepress|social and behavioral sciences|sociology|theory, knowledge and science""","""OpenAIRE""",1
"""matthew effect""","""OpenAIRE""",1
"""cumulative advantage""","""OpenAIRE""",1
"""science funding""","""OpenAIRE""",1
"""socarxiv|social and behavioral sciences|sociology""","""OpenAIRE""",1
"""regression discontinuity""","""OpenAIRE""",1
"""socarxiv|social and behavioral sciences|sociology|science, knowledge, and technology""","""OpenAIRE""",1
"""private data analysis""","""OpenAIRE""",1
"""noise addition""","""OpenAIRE""",1
"""statistical data privacy""","""OpenAIRE""",1
"""information sensitivity""","""OpenAlex""",1
"""median voter theorem""","""OpenAIRE""",1
"""wagner's law""","""OpenAIRE""",1
"""income distribution""","""OpenAlex""",1
"""computable general equilibrium""","""OpenAlex""",1
"""barnes–hut simulation""","""OpenAIRE""",1
"""round-off error""","""OpenAIRE""",1
"""particle mesh""","""OpenAIRE""",1
"""p3m""","""OpenAIRE""",1
"""ewald summation""","""OpenAIRE""",1
"""truncation""","""OpenAIRE""",1
"""n-body simulation""","""OpenAIRE""",1
"""gravitation""","""OpenAlex""",1
"""truncation error""","""OpenAlex""",1
"""truncation (statistics)""","""OpenAlex""",1
"""monetary policy; stabilization; credibility.""","""OpenAIRE""",1
"""discretionary policy""","""OpenAIRE""",1
"""jel:e5""","""OpenAIRE""",1
"""new keynesian economics""","""OpenAIRE""",1
"""jel:e0""","""OpenAIRE""",1
"""new neoclassical synthesis""","""OpenAIRE""",1
"""monetary policy reaction function""","""OpenAIRE""",1
"""taylor rule""","""OpenAIRE""",1
"""jel:e12""","""OpenAIRE""",1
"""monetary policy, credibility, stabilization, new keynesian models""","""OpenAIRE""",1
"""inflation targeting""","""OpenAIRE""",1
"""credibility; monetary policy; new keynesian models; stabilization""","""OpenAIRE""",1
"""inflation""","""OpenAIRE""",1
"""inflation targeting""","""OpenAlex""",1
"""chemical database""","""OpenAIRE""",1
"""line notation""","""OpenAIRE""",1
"""simplified molecular-input line-entry system""","""OpenAIRE""",1
"""generative modeling""","""OpenAIRE""",1
"""generative design""","""OpenAlex""",1
"""order of integration""","""OpenAIRE""",1
"""vector (molecular biology)""","""OpenAlex""",1
"""[sdu.astr] sciences of the universe [physics]/astrophysics [astro-ph]""","""OpenAIRE""",1
"""[phys.astr.co]physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co]""","""OpenAIRE""",1
"""lcsh:qc801-809""","""OpenAIRE""",1
"""lcsh:geophysics. cosmic physics""","""OpenAIRE""",1
"""[phys.astr.co] physics [physics]/astrophysics [astro-ph]/cosmology and extra-galactic astrophysics [astro-ph.co]""","""OpenAIRE""",1
"""[sdu.stu] sciences of the universe [physics]/earth sciences""","""OpenAIRE""",1
"""fsa-red algorithm""","""OpenAIRE""",1
"""context-aware services""","""OpenAIRE""",1
"""applied computer science""","""OpenAIRE""",1
"""context management""","""OpenAIRE""",1
"""context awareness""","""OpenAlex""",1
"""context model""","""OpenAlex""",1
"""product of experts""","""OpenAIRE""",1
"""zidovudine""","""OpenAIRE""",1
"""dynamic treatment regime""","""OpenAIRE""",1
"""marginal structural model""","""OpenAIRE""",1
"""anti-hiv agents""","""OpenAIRE""",1
"""spread spectrum""","""OpenAIRE""",1
"""radio spectrum""","""OpenAlex""",1
"""fifth-generation programming language""","""OpenAIRE""",1
"""prolog""","""OpenAIRE""",1
"""horn clause""","""OpenAIRE""",1
"""temporal logic of actions""","""OpenAlex""",1
"""economic model predictive control""","""OpenAIRE""",1
"""nonlinear predictive control""","""OpenAIRE""",1
"""control algorithm""","""OpenAIRE""",1
"""identification technology""","""OpenAIRE""",1
"""ciencias de las plantas, botánica""","""OpenAIRE""",1
"""ciencias biológicas""","""OpenAIRE""",1
"""parsimony""","""OpenAIRE""",1
"""national level""","""OpenAIRE""",1
"""theory of forms""","""OpenAIRE""",1
"""cultural analysis""","""OpenAIRE""",1
"""political system""","""OpenAlex""",1
"""biología""","""OpenAIRE""",1
"""socioemotional selectivity theory""","""OpenAIRE""",1
"""family income""","""OpenAIRE""",1
"""family income""","""OpenAlex""",1
"""socioemotional selectivity theory""","""OpenAlex""",1
"""extrastriate cortex""","""OpenAlex""",1
"""data and text mining""","""OpenAIRE""",1
"""common core""","""OpenAlex""",1
"""intensity normalization""","""OpenAIRE""",1
"""lone pair""","""OpenAIRE""",1
"""partial charge""","""OpenAIRE""",1
"""communication theory""","""OpenAlex""",1
